Arrest Offense Category,Total Arrestee,Male,Female
Total,"4,538,284","3,301,434","1,236,850"
Crimes Against Persons,"816,942","600,342","216,600"
Assault Offenses,"773,342","559,997","213,345"
Homicide Offenses,"8,365","7,264","1,101"
Human Trafficking Offenses,378,338,40
Kidnapping/Abduction,"11,134","9,881","1,253"
Sex Offenses,"23,723","22,862",861
Crimes Against Property,"700,947","483,840","217,107"
Arson,"5,083","3,893","1,190"
Bribery,278,206,72
Burglary/Breaking & Entering,"68,440","55,707","12,733"
Counterfeiting/Forgery,"15,499","10,523","4,976"
Destruction/Damage/Vandalism ,"99,309","75,798","23,511"
Embezzlement,"5,117","2,639","2,478"
Extortion/Blackmail,322,264,58
Fraud Offenses,"47,326","30,562","16,764"
Larceny/Theft Offenses,"340,053","208,038","132,015"
Motor Vehicle Theft,"44,435","34,669","9,766"
Robbery,"28,962","24,843","4,119"
Stolen Property Offenses,"46,123","36,698","9,425"
Crimes Against Society,"824,494","613,084","211,410"
Animal Cruelty,"2,750","1,674","1,076"
Drug/Narcotic Offenses,"707,971","512,123","195,848"
Gambling Offenses,649,487,162
Pornography/Obscene Material,"4,443","3,947",496
Prostitution Offenses,"7,928","3,969","3,959"
Weapon Law Violations,"100,753","90,884","9,869"
Group B Offenses,"2,195,901","1,604,168","591,733"
Curfew/Loitering/Vagrancy Violations,"14,659","10,341","4,318"
Disorderly Conduct,"151,136","105,885","45,251"
Driving Under the Influence,"463,100","342,069","121,031"
"Family Offenses, Nonviolent","34,251","22,440","11,811"
Liquor Law Violations,"72,753","50,010","22,743"
Trespass of Real Property,"149,769","111,431","38,338"
All Other Offenses,"1,310,233","961,992","348,241"
